DistrictID,DistrictName,Total,FireWood,CropResidue,CowdungCake,Coal,Kerosene,LPG,Electricity,Biogas,Other,NoCooking,pctFireWood,pctbiomass, pop ,category,TotalRural,RFireWood,RCropResidue,RCowdungCake,RCoal,RKerosene,RLPG,RElectricity,RBiogas,ROther,RNoCooking,pctRFireWood,pctbiomass,pctbiomass,category,TotalUrban,UFireWood,UCropResidue,UCowdungCake,UCoal,UKerosene,ULPG,UElectricity,UBiogas,UOther,UNoCooking,pctUFireWood,pctbiomass,category
15773, Sibsagar ,246983,178927,"3,064",273,90,"1,884","61,450",186,208,181,720,72.45,72," 1,234,915 ",Total,220760,173885,"2,877",248,80,592,"42,013",160,181,143,581,78.77,80.28,80.00,Rural,26223,5042,187,25,10,"1,292","19,437",26,27,38,139,19.23,20.22,Urban
15774, Sonitpur ,386899,304412,"6,744","1,583",329,"1,740","70,047",136,618,202,"1,088",78.68,78," 1,934,495 ",Total,346401,295513,"6,381","1,546",178,544,"40,529",130,468,188,924,85.31,87.70,87.00,Rural,40498,8899,363,37,151,"1,196","29,518",6,150,14,164,21.97,23.37,Urban
15775, Tinsukia ,268383,186889,"2,781",346,"2,687","3,798","70,471",100,199,178,934,69.64,69," 1,341,915 ",Total,209603,175303,"2,306",269,952,715,"29,263",91,147,54,503,83.64,85.34,85.00,Rural,58780,11586,475,77,"1,735","3,083","41,208",9,52,124,431,19.71,23.81,Urban
15776, Araria ,561455,101983,"4,04,613","31,283",440,729,"17,004",557,326,"3,621",899,18.16,18," 2,807,275 ",Total,529611,88679,"3,98,796","30,451",342,397,"6,026",539,186,"3,485",710,16.74,98.52,98.00,Rural,31844,13304,"5,817",832,98,332,"10,978",18,140,136,189,41.78,63.39,Urban
15777, Aurangabad ,387122,88242,"35,595","2,23,708","6,770","1,398","24,106",550,"1,853","4,141",759,22.79,22," 1,935,610 ",Total,351828,80120,"33,992","2,17,447","3,021","1,136","9,309",518,"1,757","3,946",582,22.77,96.22,96.00,Rural,35294,8122,"1,603","6,261","3,749",262,"14,797",32,96,195,177,23.01,56.47,Urban
15778, Banka ,380013,123710,"88,584","1,35,226","5,103",611,"15,459",459,933,"9,460",468,32.55,32," 1,900,065 ",Total,366656,120475,"86,852","1,32,060","4,678",544,"11,028",444,923,"9,237",415,32.86,96.36,96.00,Rural,13357,3235,"1,732","3,166",425,67,"4,431",15,10,223,53,24.22,65.74,Urban
15779, Begusarai ,596110,233643,"2,47,577","52,023","3,881","1,088","49,493","1,437",734,"5,170","1,064",39.19,39," 2,980,550 ",Total,488062,183448,"2,29,932","47,095","1,592",549,"19,056",620,538,"4,373",859,37.59,95.57,95.00,Rural,108048,50195,"17,645","4,928","2,289",539,"30,437",817,196,797,205,46.46,70.20,Urban
15781, Bhagalpur ,563306,173357,"1,70,945","99,362","43,257","1,713","63,241",835,"1,488","8,046","1,062",30.77,30," 2,816,530 ",Total,458960,150568,"1,63,347","93,118","19,865",920,"21,296",747,998,"7,337",764,32.81,94.61,94.00,Rural,104346,22789,"7,598","6,244","23,392",793,"41,945",88,490,709,298,21.84,58.20,Urban
15782, Bhojpur ,415555,101788,"30,125","2,21,654","3,774","1,930","45,763",600,"2,969","6,058",894,24.49,24," 2,077,775 ",Total,357782,86911,"27,936","2,13,965","1,010","1,389","16,951",572,"2,594","5,697",757,24.29,93.78,93.00,Rural,57773,14877,"2,189","7,689","2,764",541,"28,812",28,375,361,137,25.75,48.26,Urban
15783, Buxar ,262398,57946,"16,590","1,52,284","2,019","1,288","27,362",369,"1,314","2,628",598,22.08,22," 1,311,990 ",Total,236453,50159,"15,964","1,49,860",970,945,"13,949",359,"1,226","2,571",450,21.21,92.84,92.00,Rural,25945,7787,626,"2,424","1,049",343,"13,413",10,88,57,148,30.01,46.03,Urban
15784, Darbhanga ,805786,320232,"2,49,279","1,49,716","3,000","2,192","59,510","1,068","2,027","16,793","1,969",39.74,39," 4,028,930 ",Total,732270,293836,"2,42,897","1,46,749","1,625","1,287","25,631","1,009","1,898","15,560","1,778",40.13,95.68,95.00,Rural,73516,26396,"6,382","2,967","1,375",905,"33,879",59,129,"1,233",191,35.91,52.17,Urban
