State,DistrictID,DistrictName,gwDepth,GCAKharif,GCARabi,GCASummer,GIAKharif,GIARabi,GIASummer,kwhkharif,kwhrabi,kwhsummer,TotalEnergy
Bihar,15797, Nalanda ,8,2424.8,209030.6,233,22573.32817,22485.75549,2963.977992,20.22,72.6,0,15.22
Bihar,15798, Nawada ,8,3512.7,142173.15,254,6013.642636,6699.151161,2154.742019,13.08,84.57,185.55,12.11
Bihar,15799, Pashchim Champaran ,8,141727.3,283003.35,76974,85.62371913,91.11814771,29.08063161,25.26,60.85,144.22,31.9
Bihar,15800, Patna ,10,9771.8,240112.1,750,6471.283996,7095.603867,792.692159,28.7,87.99,218.33,21.57
Bihar,15801, Purba Champaran ,9,103129,277689.5,14613,1141.923333,5227.075407,262.6313317,29.93,83.62,185.75,29.02
Bihar,15802, Purnia ,6,65753.3,220296.85,42826,140.7228164,200.3092692,18.25334225,11.68,50.76,88,15.71
Bihar,15803, Rohtas ,12,3440.1,360559.45,1025,17917.79785,16419.00924,1033.604836,20.52,124,290.99,45.07
Bihar,15804, Saharsa ,5,26891.5,163024.75,6322,268.4322811,424.7337067,0.445010183,13.1,44,91.66,8.1
Bihar,15805, Samastipur ,8,57523.7,174878.65,11348,647.38021,1358.724022,72.94648425,22.89,70.08,162.44,15.41
Bihar,15806, Saran ,9,31173.1,190881.45,3777,370.4110899,909.5192508,104.9356423,26.83,82.19,201.75,17.28
Bihar,15807, Sheikhpura ,6,609.7,37649.65,27,1683.529226,2394.015826,757.7383414,12.88,54.25,127.16,2.05
Bihar,15808, Sheohar ,4,11029.3,40952.85,1793,53.87020696,93.11070111,18.56056474,14.16,36.28,77.88,1.78
Bihar,15809, Sitamarhi ,4,2520.3,277043.35,480,3310.856636,6685.043108,1108.441895,13.82,37.14,77.88,10.36
Bihar,15810, Siwan ,9,43446.7,194469.3,11105,608.1894807,1358.147215,130.5139257,31.44,82.42,194.75,19.55
Bihar,15811, Supaul ,5,74300.3,189866.7,8927,46.45010884,222.5434309,4.719331508,12.55,41.84,80.83,9.59
Bihar,15812, Vaishali ,9,59702.9,198854.1,28087,746.8934579,1178.398306,1122.500257,27.04,78.98,190,22.65
Chhattisgarh,15814, Bastar ,54,1440,1206,114,29.91475875,139.9118127,12.75626623,117.99,517,1117.49,0.92
Chhattisgarh,15815, Bilaspur ,30,350512.7,14104.3,2793,13711.77682,10892.84089,1288.883347,97.2,217.42,666.66,38.99
Chhattisgarh,15815, Bilaspur ,30,350512.7,14104.3,2793,13711.77682,10892.84089,1288.883347,97.2,217.42,666.66,38.99
Chhattisgarh,15816, Dantewada ,13,346827.8,120553.2,5351,6.612886934,22.97987835,0.184249629,28.74,120.11,0,24.44
Chhattisgarh,15817, Dhamtari ,22,291006.65,9812.35,761,5444.786074,9791.461987,1156.186094,74.63,186.34,513.33,23.93
Chhattisgarh,15818, Durg ,39,133205.25,41247.75,13848,27805.07661,16473.79247,2714.99287,133.01,309.89,911.08,43.11
Chhattisgarh,15819, Janjgir-Champa ,19,466729.95,264602.05,12498,11696.71054,6769.754044,11.69013915,65.51,150.07,431.19,75.67
