State,DistrictID,DistrictName,gwDepth,GCAKharif,GCARabi,GCASummer,GIAKharif,GIARabi,GIASummer,kwhkharif,kwhrabi,kwhsummer,TotalEnergy
Kerala,15959, Kasaragod ,23,159778,161067,139105,0,0,0,7.35,108.47,104.13,33.13
Kerala,15960, Kollam ,18,126442,214723,109375,0,0,0,1.46,11.11,4.97,3.11
Kerala,15961, Kottayam ,30,199970,205150,173547,0,0,0,2.18,17.49,10.5,5.84
Kerala,15962, Kozhikode ,22,125689,115201,104011,0,0,0,1.18,17.31,14.11,3.61
Kerala,15963, Malappuram ,25,143974,170801,126267,0,0,0,13,164.31,168.05,51.15
Kerala,15964, Palakkad ,37,171477,185828,167175,0,0,0,44.61,377.27,344.3,135.31
Kerala,15965, Pattanamtitta ,10,185583,188835,167211,0,0,0,1.12,9.5,5.47,2.91
Kerala,15966, Thiruvananthapuram ,26,203009,196788,167736,0,0,0,8.1,38.86,20.8,12.78
Kerala,15967, Thrissur ,14,209110,180156,121038,0,0,0,15.87,146.01,127.16,45.01
Kerala,15968, Wayanad ,40,83876,94064,78653,0,0,0,18.2,192.88,250,39.33
Madhya Pradesh,15972, Balaghat ,15,88797,49293,16,9252.857143,9252.857143,3084.285714,54.04,121.82,341.66,10.8
Madhya Pradesh,15973, Barwani ,54,168316,485713,469,19449.85714,19449.85714,6483.285714,194.89,597.77,0,323.14
Madhya Pradesh,15974, Betul ,110,398894,228246,179514,35075.14286,35075.14286,11691.71429,248.74,1026.85,0,333.59
Madhya Pradesh,15975, Bhind ,47,270680,64911,9440,37938.85714,37938.85714,12646.28571,177.67,356.54,0,71.23
Madhya Pradesh,15976, Bhopal ,43,228001,79400,53097,24319.71429,24319.71429,8106.571429,72.84,370.08,0,45.99
Madhya Pradesh,15977, Burhanpur ,31,384801,131804,6608,16786.71429,16786.71429,5595.571429,0,0,0,0
Madhya Pradesh,15978, Chhatarpur ,17,77551,275193,119,73918.28571,73918.28571,24639.42857,49.18,137.65,0,41.69
Madhya Pradesh,15979, Chhindwara ,94,101905,108949,591,49880.14286,49880.14286,16626.71429,210.19,912.21,0,120.8
Madhya Pradesh,15980, Damoh ,32,0,0,0,23671.71429,23671.71429,7890.571429,97.13,252.03,0,0
Madhya Pradesh,15981, Datia ,48,167553,294358,512,25698,25698,8566,177.43,368.24,0,138.12
Madhya Pradesh,15982, Dewas ,90,425075,163376,45948,53209.28571,53209.28571,17736.42857,185.39,769.69,0,204.55
Madhya Pradesh,15983, Dhar ,60,134649,244860,174,46121.57143,46121.57143,15373.85714,153.54,609.51,0,169.91
Madhya Pradesh,15984, Dindori ,54,50308,170571,3615,0,0,0,142.16,439.47,0,82.11
Madhya Pradesh,15985, East Nimar ,45,381259,189546,31579,40056.85714,40056.85714,13352.28571,104.04,440.42,0,123.14
Madhya Pradesh,15986, Guna ,97,501107,273669,97101,38829,38829,12943,254.82,772.02,0,338.97
Madhya Pradesh,15987, Gwalior ,55,179515,85703,19,30125.14286,30125.14286,10041.71429,271.52,436.01,0,86.1
Madhya Pradesh,15988, Harda ,29,430955,196602,125049,18854.57143,18854.57143,6284.857143,44.03,268.48,0,71.75
Madhya Pradesh,15989, Hoshangabad ,18,277600,480897,1463,44202.42857,44202.42857,14734.14286,23.49,159.65,0,83.29
Madhya Pradesh,15990, Indore ,46,81705,183150,1678,30705,30705,10235,91.41,449.48,0,89.79
Madhya Pradesh,15991, Jabalpur ,69,165991,118075,1647,43756.71429,43756.71429,14585.57143,214.53,557.04,0,101.38
Madhya Pradesh,15992, Jhabua ,57,248197,246950,1692,9869.571429,9869.571429,3289.857143,213.98,559.96,0,191.39
Madhya Pradesh,15993, Katni ,18,258739,142439,703,13720.71429,13720.71429,4573.571429,70.63,158.39,0,40.83
